method,repetition,elapsed_ms
DAS,1,0.06857600063085556
DAS,2,0.14336000382900238
DAS,3,0.19782400131225586
DAS,4,0.15769599378108978
DAS,5,0.130048006772995
DAS,6,0.2088959962129593
DAS,7,0.16780799627304077
DAS,8,0.12083200365304947
DAS,9,0.17612800002098083
DAS,10,0.11980800330638885
DAS,11,0.11878400295972824
DAS,12,0.11980800330638885
DAS,13,0.11878400295972824
DAS,14,0.11980800330638885
DAS,15,0.11776000261306763
DAS,16,0.11673600226640701
DAS,17,0.11673600226640701
DAS,18,0.11878400295972824
DAS,19,0.12083200365304947
DAS,20,0.11980800330638885
DAS,21,0.13104000687599182
DAS,22,0.12083200365304947
DAS,23,0.11878400295972824
DAS,24,0.1196800023317337
DAS,25,0.12902399897575378
DAS,26,0.11980800330638885
DAS,27,0.12083200365304947
DAS,28,0.11878400295972824
DAS,29,0.11878400295972824
DAS,30,0.1730560064315796
DAS,31,0.17612800002098083
DAS,32,0.13209599256515503
DAS,33,0.18105599284172058
DAS,34,0.062463998794555664
DAS,35,0.10239999741315842
DAS,36,0.11580800265073776
DAS,37,0.0798719972372055
DAS,38,0.1157120019197464
DAS,39,0.10649599879980087
DAS,40,0.0942080020904541
DAS,41,0.07884799689054489
DAS,42,0.1085439994931221
DAS,43,0.09011200070381165
DAS,44,0.09011200070381165
DAS,45,0.1372160017490387
DAS,46,0.07884799689054489
DAS,47,0.07875200361013412
DAS,48,0.0798719972372055
DAS,49,0.08806400001049042
DAS,50,0.07680000364780426
Receive CF-DAS,1,6.555647850036621
Receive CF-DAS,2,7.084159851074219
Receive CF-DAS,3,6.727680206298828
Receive CF-DAS,4,5.985311985015869
Receive CF-DAS,5,6.02726411819458
Receive CF-DAS,6,8.114175796508789
Receive CF-DAS,7,6.4481282234191895
Receive CF-DAS,8,6.207488059997559
Receive CF-DAS,9,5.942272186279297
Receive CF-DAS,10,6.3466877937316895
Receive CF-DAS,11,6.319136142730713
Receive CF-DAS,12,6.393856048583984
Receive CF-DAS,13,5.98524808883667
Receive CF-DAS,14,6.038527965545654
Receive CF-DAS,15,5.9310078620910645
Receive CF-DAS,16,6.227968215942383
Receive CF-DAS,17,7.990272045135498
Receive CF-DAS,18,6.48089599609375
Receive CF-DAS,19,6.177792072296143
Receive CF-DAS,20,6.578176021575928
Receive CF-DAS,21,6.159359931945801
Receive CF-DAS,22,6.396927833557129
Receive CF-DAS,23,6.1675519943237305
Receive CF-DAS,24,6.425600051879883
Receive CF-DAS,25,6.5423359870910645
Receive CF-DAS,26,6.337344169616699
Receive CF-DAS,27,6.317056179046631
Receive CF-DAS,28,6.262784004211426
Receive CF-DAS,29,6.38047981262207
Receive CF-DAS,30,6.480800151824951
Receive CF-DAS,31,7.2335357666015625
Receive CF-DAS,32,6.372352123260498
Receive CF-DAS,33,6.066175937652588
Receive CF-DAS,34,7.424895763397217
Receive CF-DAS,35,7.245823860168457
Receive CF-DAS,36,13.05907154083252
Receive CF-DAS,37,5.806079864501953
Receive CF-DAS,38,6.015903949737549
Receive CF-DAS,39,6.317056179046631
Receive CF-DAS,40,6.086656093597412
Receive CF-DAS,41,5.933023929595947
Receive CF-DAS,42,5.868544101715088
Receive CF-DAS,43,6.12556791305542
Receive CF-DAS,44,6.685696125030518
Receive CF-DAS,45,6.071296215057373
Receive CF-DAS,46,6.059872150421143
Receive CF-DAS,47,5.885951995849609
Receive CF-DAS,48,6.553440093994141
Receive CF-DAS,49,6.97049617767334
Receive CF-DAS,50,6.062079906463623
MV,1,407.4444885253906
MV,2,407.9052734375
MV,3,409.75872802734375
MV,4,414.9043273925781
MV,5,427.8251647949219
MV,6,412.54296875
MV,7,411.6438903808594
MV,8,410.5646057128906
MV,9,405.84295654296875
MV,10,416.9850769042969
MV,11,408.75213623046875
MV,12,408.953857421875
MV,13,412.9494934082031
MV,14,407.62982177734375
MV,15,418.3275451660156
MV,16,418.88153076171875
MV,17,411.55584716796875
MV,18,408.8913879394531
MV,19,407.3461608886719
MV,20,414.7609558105469
MV,21,410.69158935546875
MV,22,412.8993225097656
MV,23,409.73004150390625
MV,24,413.338623046875
MV,25,419.5563659667969
MV,26,415.435791015625
MV,27,409.1074523925781
MV,28,410.8318786621094
MV,29,408.5667724609375
MV,30,413.5628662109375
MV,31,410.35467529296875
MV,32,407.7516784667969
MV,33,408.7767028808594
MV,34,411.0335998535156
MV,35,415.93548583984375
MV,36,417.52166748046875
MV,37,415.3774108886719
MV,38,413.20037841796875
MV,39,404.10113525390625
MV,40,413.06829833984375
MV,41,417.4725036621094
MV,42,409.7730407714844
MV,43,406.9468078613281
MV,44,408.04864501953125
MV,45,415.6661682128906
MV,46,414.8940734863281
MV,47,409.57440185546875
MV,48,410.7253723144531
MV,49,413.6263732910156
MV,50,411.20050048828125
F-DMAS,1,3.9075839519500732
F-DMAS,2,3.8543360233306885
F-DMAS,3,4.523007869720459
F-DMAS,4,3.976191997528076
F-DMAS,5,4.228096008300781
F-DMAS,6,3.9526400566101074
F-DMAS,7,4.132863998413086
F-DMAS,8,4.007936000823975
F-DMAS,9,3.8553600311279297
F-DMAS,10,4.0069122314453125
F-DMAS,11,4.1902079582214355
F-DMAS,12,4.079616069793701
F-DMAS,13,3.87174391746521
F-DMAS,14,3.9423999786376953
F-DMAS,15,4.957183837890625
F-DMAS,16,4.275199890136719
F-DMAS,17,3.9342079162597656
F-DMAS,18,3.9577600955963135
F-DMAS,19,3.920896053314209
F-DMAS,20,3.926016092300415
F-DMAS,21,3.915776014328003
F-DMAS,22,4.0417280197143555
F-DMAS,23,4.213759899139404
F-DMAS,24,4.329472064971924
F-DMAS,25,3.9045119285583496
F-DMAS,26,4.06220817565918
F-DMAS,27,4.124671936035156
F-DMAS,28,4.198400020599365
F-DMAS,29,3.9833600521087646
F-DMAS,30,4.129792213439941
F-DMAS,31,3.9669759273529053
F-DMAS,32,3.964927911758423
F-DMAS,33,3.9935998916625977
F-DMAS,34,4.15334415435791
F-DMAS,35,4.385791778564453
F-DMAS,36,4.331520080566406
F-DMAS,37,4.154367923736572
F-DMAS,38,3.910655975341797
F-DMAS,39,3.872767925262451
F-DMAS,40,3.8143999576568604
F-DMAS,41,3.964927911758423
F-DMAS,42,3.8748159408569336
F-DMAS,43,3.931135892868042
F-DMAS,44,4.146175861358643
F-DMAS,45,4.739071846008301
F-DMAS,46,4.1605119705200195
F-DMAS,47,4.104191780090332
F-DMAS,48,4.081664085388184
F-DMAS,49,4.075520038604736
F-DMAS,50,4.077568054199219
Receive-NSI,1,0.8253440260887146
Receive-NSI,2,0.7342079877853394
Receive-NSI,3,0.8232960104942322
Receive-NSI,4,0.8478720188140869
Receive-NSI,5,0.8243200182914734
Receive-NSI,6,0.7577599883079529
Receive-NSI,7,0.7720959782600403
Receive-NSI,8,0.8509439826011658
Receive-NSI,9,0.7782400250434875
Receive-NSI,10,0.7680000066757202
Receive-NSI,11,0.7618560194969177
Receive-NSI,12,0.7024639844894409
Receive-NSI,13,0.6963199973106384
Receive-NSI,14,0.7219200134277344
Receive-NSI,15,0.7342079877853394
Receive-NSI,16,0.7505919933319092
Receive-NSI,17,0.7567359805107117
Receive-NSI,18,0.7536640167236328
Receive-NSI,19,0.7557119727134705
Receive-NSI,20,0.7864320278167725
Receive-NSI,21,0.7444480061531067
Receive-NSI,22,0.754688024520874
Receive-NSI,23,0.7301120162010193
Receive-NSI,24,0.7475200295448303
Receive-NSI,25,0.7208960056304932
Receive-NSI,26,0.7208960056304932
Receive-NSI,27,0.7290880084037781
Receive-NSI,28,0.7383040189743042
Receive-NSI,29,0.7464960217475891
Receive-NSI,30,0.7577599883079529
Receive-NSI,31,0.7423999905586243
Receive-NSI,32,0.7413759827613831
Receive-NSI,33,0.749567985534668
