method,grid_spacing_x_mm,grid_spacing_z_mm,peak_x_mm,peak_z_mm,peak_amplitude,lateral_fwhm_mm,axial_fwhm_mm,lateral_width_minus10_db_mm,axial_width_minus10_db_mm,lateral_width_minus20_db_mm,axial_width_minus20_db_mm,lateral_minus6_left_crossing_mm,lateral_minus6_right_crossing_mm,axial_minus6_left_crossing_mm,axial_minus6_right_crossing_mm,lateral_samples_per_fwhm,axial_samples_per_fwhm,lateral_fwhm_sampling_ok,axial_fwhm_sampling_ok,subsampling_stride,lateral_peak_x_mm,lateral_profile_z_mm,lateral_fwhm_converged,lateral_final_two_relative_changes_percent,axial_fwhm_converged
DAS,0.0003906250000000112,0.012499999999998623,0.0,20.1,53437.7265625,0.22583658854166666,0.7207274559737076,0.2820067646397883,0.7820776342524378,0.524363234636083,0.8673137979348134,-0.11291839096018978,0.1129181975814769,19.975111462377352,20.69583891835106,578.14166666665,57.658196477902955,True,True,1,0.0,20.1,True,"[0.0011737035346621098, 0.0007100701387629052]",True
Conventional NSI,0.0003906250000000112,0.012499999999998623,0.0,20.1,2671.6875,0.008979010537406261,0.7207290194157883,0.016954069683122353,0.7820784826448706,0.05597991338112306,0.8673139873530793,-0.0044894986998736805,0.0044895118375325805,19.97511165304702,20.695840672462808,22.98626697575937,57.65832155326941,True,True,1,0.0,20.1,True,"[0.35117605383326433, 0.17676260182963097]",True
Angular NSI,0.0003906250000000112,0.012499999999998623,0.0,20.1,2671.86767578125,0.1160004067314412,0.7207260032417034,0.17589602380129385,0.7820766088701657,0.28935721910295015,0.8673127665661147,-0.05800025976008509,0.0580001469713561,19.97511119453408,20.695837197775784,296.96104123248097,57.658080259342626,True,True,1,0.0,20.1,True,"[0.00076791643733022, 0.010636524564413946]",True
