perturbation_type,noise_snr_db,phase_jitter_sd_deg,realization,angle_count,minimum_angle_deg,maximum_angle_deg,total_angle_span_deg,evaluation_z_mm,method,measurement_ok,peak_x_mm,peak_x_bias_mm,peak_amplitude,background_rms,peak_to_background_db,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,samples_per_fwhm,grid_spacing_mm,measurement_error
noise,infinity,0.0,7,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,infinity,0.0,8,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,8,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
noise,infinity,0.0,8,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,infinity,0.0,9,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,9,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
noise,infinity,0.0,9,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,infinity,0.0,10,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,
noise,infinity,0.0,10,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,
noise,infinity,0.0,10,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,
noise,40.0,0.0,1,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53438.9765625,489.2355714039364,40.766802117929245,0.22584133410995288,0.2820121443174484,0.5242997490636485,578.153815321502,0.00039062499999998473,
noise,40.0,0.0,1,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2668.521484375,0.13773103362937203,85.7447779386153,0.008997868885085258,0.01698068270305265,0.05605069082019094,23.03454434581916,0.00039062499999998473,
noise,40.0,0.0,1,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2667.384033203125,6.041835076013412,52.898333620444305,0.11610037209759608,0.17609959959690089,0.2896983446984076,297.2169525698576,0.00039062499999998473,
noise,40.0,0.0,2,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53438.60546875,491.85344594998077,40.72038795725983,0.22581884163665003,0.28198448598855885,0.5243384112220485,578.0962345898466,0.00039062499999998473,
noise,40.0,0.0,2,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2670.563720703125,0.13776861116564035,85.74905329050635,0.00898319651456941,0.01695913604423333,0.05599492938676108,22.996983077298587,0.00039062499999998473,
noise,40.0,0.0,2,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2666.321533203125,6.056297167009127,52.87410686631922,0.11630350522558013,0.17628185041630523,0.28983195830060454,297.7369733774968,0.00039062499999998473,
noise,40.0,0.0,3,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53434.64453125,489.0226145510796,40.769879627286755,0.22585872426907255,0.2820272587858801,0.5244559267595945,578.1983341288484,0.00039062499999998473,
