case,view,method,peak_x_mm,peak_z_mm,lateral_bias_mm,axial_bias_mm,localization_error_mm,lateral_width_mm,axial_width_mm,peak_to_median_background_db,lateral_width_audit,axial_width_audit,gcnr,contrast_ratio_db,cnr,signal_pixel_count,background_pixel_count,signal_mean_linear,background_mean_linear
experimental_psf,central_37p5_mm_target,DAS,-0.2599999949475751,37.479999457597735,-0.06000000000000005,-0.11999999999999744,0.1341640786499851,0.5732347748597595,0.5937997278012119,30.97280676767843,"{'peak_index': 229, 'peak_axis_mm': -0.25499999494757497, 'peak_amplitude': 64.14594268798828, 'level_db': -6.0, 'left_crossing_mm': -0.5153014520549909, 'right_crossing_mm': 0.05793332280476862, 'width_mm': 0.5732347748597595}","{'peak_index': 54, 'peak_axis_mm': 37.479999457597735, 'peak_amplitude': 65.95935821533203, 'level_db': -6.0, 'left_crossing_mm': 37.24734460343969, 'right_crossing_mm': 37.841144331240905, 'width_mm': 0.5937997278012119}",,,,,,,
experimental_psf,central_37p5_mm_target,Receive CF-DAS,-0.23999999494757507,37.53999945759773,-0.040000000000000036,-0.060000000000002274,0.0721110255092817,0.4211550927336985,0.46925089688329535,65.54296209099701,"{'peak_index': 231, 'peak_axis_mm': -0.24499999494757496, 'peak_amplitude': 21.554033279418945, 'level_db': -6.0, 'left_crossing_mm': -0.4386521625757088, 'right_crossing_mm': -0.017497069842010347, 'width_mm': 0.4211550927336985}","{'peak_index': 58, 'peak_axis_mm': 37.55999945759773, 'peak_amplitude': 21.364564895629883, 'level_db': -6.0, 'left_crossing_mm': 37.321502781469114, 'right_crossing_mm': 37.79075367835241, 'width_mm': 0.46925089688329535}",,,,,,,
experimental_psf,central_37p5_mm_target,MV,-0.2599999949475751,37.49999945759773,-0.06000000000000005,-0.10000000000000142,0.11661903789690725,0.4131848906764079,0.5725789992445272,24.593446962084748,"{'peak_index': 224, 'peak_axis_mm': -0.2799999949475749, 'peak_amplitude': 17.662425994873047, 'level_db': -6.0, 'left_crossing_mm': -0.48746362185916753, 'right_crossing_mm': -0.07427873118275963, 'width_mm': 0.4131848906764079}","{'peak_index': 55, 'peak_axis_mm': 37.49999945759773, 'peak_amplitude': 18.070524215698242, 'level_db': -6.0, 'left_crossing_mm': 37.21248509374127, 'right_crossing_mm': 37.7850640929858, 'width_mm': 0.5725789992445272}",,,,,,,
experimental_psf,central_37p5_mm_target,F-DMAS,-0.2599999949475751,37.49999945759773,-0.06000000000000005,-0.10000000000000142,0.11661903789690725,0.34959380995059025,0.6011880092940771,46.50762454175659,"{'peak_index': 229, 'peak_axis_mm': -0.25499999494757497, 'peak_amplitude': 755.8759765625, 'level_db': -6.0, 'left_crossing_mm': -0.417542233390351, 'right_crossing_mm': -0.06794842343976076, 'width_mm': 0.34959380995059025}","{'peak_index': 55, 'peak_axis_mm': 37.49999945759773, 'peak_amplitude': 737.376953125, 'level_db': -6.0, 'left_crossing_mm': 37.24162232525264, 'right_crossing_mm': 37.84281033454672, 'width_mm': 0.6011880092940771}",,,,,,,
experimental_psf,central_37p5_mm_target,Receive-NSI,-0.2999999949475749,37.49999945759773,-0.09999999999999987,-0.10000000000000142,0.14142135623731042,0.063773274681587,0.6753554633447791,53.71963919917466,"{'peak_index': 222, 'peak_axis_mm': -0.2899999949475749, 'peak_amplitude': 0.6032729148864746, 'level_db': -6.0, 'left_crossing_mm': -0.3393171683008141, 'right_crossing_mm': -0.2755438936192271, 'width_mm': 0.063773274681587}","{'peak_index': 54, 'peak_axis_mm': 37.479999457597735, 'peak_amplitude': 0.10481643676757812, 'level_db': -6.0, 'left_crossing_mm': 37.26917777807655, 'right_crossing_mm': 37.94453324142133, 'width_mm': 0.6753554633447791}",,,,,,,
experimental_psf,central_37p5_mm_target,Angle-NSI,-0.2799999949475751,37.91999945759773,-0.08000000000000007,0.3200000000000003,0.32984845004941316,0.07132579167757636,0.5862666125997862,54.370450654743905,"{'peak_index': 219, 'peak_axis_mm': -0.304999994947575, 'peak_amplitude': 0.5686211585998535, 'level_db': -6.0, 'left_crossing_mm': -0.3546107858521312, 'right_crossing_mm': -0.2832849941745548, 'width_mm': 0.07132579167757636}","{'peak_index': 53, 'peak_axis_mm': 37.45999945759773, 'peak_amplitude': 0.24206924438476562, 'level_db': -6.0, 'left_crossing_mm': 37.22123502898145, 'right_crossing_mm': 37.80750164158123, 'width_mm': 0.5862666125997862}",,,,,,,
carotid,CL,DAS,,,,,,,,,,,0.9501667832628686,28.243956950218173,1.1965306043078845,1404,1405,1.1058532551678555,28.569020334681582
carotid,CL,Receive CF-DAS,,,,,,,,,,,0.8177479697052651,27.902823384978902,0.7248497893412232,1404,1405,0.04080710021660453,1.0136240440066175
carotid,CL,MV,,,,,,,,,,,0.96582616013221,28.527025409110355,1.2078186962781536,1404,1405,1.1910709484806683,31.789881007484695
carotid,CL,F-DMAS,,,,,,,,,,,0.9622664273909826,32.30057526926795,0.9417262476860179,1404,1405,1.3184318410092035,54.33584763940119
