method,n,median_ms,q1_ms,q3_ms,iqr_ms,mean_ms,sample_sd_ms,minimum_ms,maximum_ms,ratio_to_das_median,das_over_method_median,ratio_to_das_mean,das_over_method_mean
DAS / coherent compounding,50,23.91695949336281,23.3490502469067,24.572447244281648,1.2233969973749481,24.408565999474376,2.5656006785642473,21.940983991953544,38.81866700248793,1.0,1.0,1.0,1.0
Conventional NSI (two fields),50,30.188538003130816,29.367934501351556,31.620093006495154,2.2521585051435977,31.082639701780863,3.059744746145439,28.10553000017535,45.41780101135373,1.2622230685931641,0.7922529898891564,1.2734316183281806,0.785279700619375
Angular NSI (streaming),50,24.742769499425776,23.956841996550793,25.482375251158373,1.5255332546075806,24.97210687986808,1.7954711557467349,22.983720002230257,33.864384997286834,1.0345282186179283,0.9666241886914829,1.0230878323784296,0.9774331864305764
Angular NSI (stored angle stack),50,24.463813002512325,23.607666000316385,25.28242975313333,1.6747637528169435,24.837475839885883,2.1388962296143985,22.886491002282128,35.24821699829772,1.0228646751398844,0.9776464319322031,1.017572103187903,0.9827313434273087
